#año,area,politica,grupo,programa,descripcion
2011,1,,,,Servicios públicos básicos
2011,2,,,,Actuaciones de protección y promoción social
2011,3,,,,Producción de bienes públicos de carácter preferente
2011,4,,,,Actuaciones de carácter económico
2011,9,,,,Actuaciones de carácter general
2011,1,1,,,Justicia
2011,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2011,1,4,,,Política exterior
2011,2,1,,,Pensiones
2011,2,2,,,Otras prestaciones económicas
2011,2,3,,,Servicios sociales y promoción social
2011,2,4,,,Fomento del empleo
2011,2,6,,,Acceso a la vivienda y fomento de la edificación
2011,3,1,,,Sanidad
2011,3,2,,,Educación
2011,3,3,,,Cultura
2011,4,1,,,"Agricultura, ganadería y alimentación"
2011,4,2,,,Industria y energía
2011,4,3,,,"Comercio, Turismo y Pymes"
2011,4,4,,,Subvenciones al transporte
2011,4,5,,,Infraestructuras
2011,4,6,,,"Investigación, desarrollo e innovación"
2011,4,9,,,Otras actuaciones de carácter económico
2011,9,1,,,Alta dirección
2011,9,2,,,Servicios de carácter general
2011,9,3,,,Administración financiera y tributaria
2011,9,4,,,Transferencias a otras administraciones públicas
2011,9,5,,,Deuda pública
2011,1,1,1,,Administración general de justicia
2011,1,1,2,,Administración de justicia
2011,1,1,4,,Protección jurídica del menor
2011,1,3,1,,Administración general de seguridad y protección civil
2011,1,3,2,,Seguridad y orden público
2011,1,3,3,,Instituciones penitenciarias
2011,1,3,4,,Protección civil
2011,1,4,3,,Cooperación para el desarrollo
2011,1,4,4,,"Cooperación, promoción y difusión cultural en el exterior"
2011,1,4,5,,Relaciones con la Unión Europea
2011,1,4,6,,Relaciones con el exterior
2011,2,1,1,,Pensiones contributivas
2011,2,1,2,,Pensiones no contributivas
2011,2,2,4,,Otras prestaciones económicas
2011,2,3,1,,Acción social
2011,2,3,2,,Promoción social
2011,2,3,3,,Administración general de protección social
2011,2,4,1,,Promoción del empleo y de la inserción laboral
2011,2,4,2,,Formación profesional no reglada
2011,2,6,1,,Acceso a la vivienda y fomento de la edificación
2011,3,1,1,,Administración general de sanidad
2011,3,1,2,,"Hospitales, servicios asistenciales y centros de salud"
2011,3,1,3,,Acciones públicas relativas a la salud
2011,3,2,1,,Administración general de educación
2011,3,2,2,,Enseñanza
2011,3,2,3,,Promoción educativa
2011,3,2,4,,Servicios complementarios de la enseñanza
2011,3,2,5,,Infraestructura
2011,3,3,1,,Administración general de cultura
2011,3,3,2,,Bibliotecas y archivos
2011,3,3,3,,Museos y artes plásticas
2011,3,3,4,,Promoción cultural
2011,3,3,5,,Artes escénicas
2011,3,3,6,,Deportes y educación física
2011,3,3,7,,Arqueología y protección del patrimonio histórico-artístico
2011,4,1,1,,"Administración general de agricultura, ganadería y alimentación"
2011,4,1,2,,Mejoras de las estructuras agrarias y de los sistemas productivos
2011,4,1,3,,Competitividad de la industria agroalimentaria y calidad alimentaria
2011,4,1,4,,Desarrollo rural
2011,4,2,1,,Actuaciones administrativas sobre la industria
2011,4,2,2,,Reconversión y desarrollo industrial
2011,4,2,5,,Ordenación y eficiencia energética
2011,4,3,1,,Comercio
2011,4,3,2,,Ordenación y promoción turística
2011,4,3,3,,Desarrollo empresarial
2011,4,4,1,,Subvenciones al transporte
2011,4,5,1,,Administración general de infraestructuras
2011,4,5,2,,Recursos hidráulicos
2011,4,5,3,,Infraestructuras del transporte terrestre
2011,4,5,6,,Actuaciones medioambientales
2011,4,5,8,,"Infraestructura industrial, comercial y turística"
2011,4,5,9,,Electrificación y alumbrado
2011,4,5,A,,Vías de comunicación en el medio rural
2011,4,5,B,,Otros servicios del bienestar comunitario
2011,4,6,5,,Investigación y desarrollo relacionados con la salud
2011,4,6,7,,Investigación y desarrollo en otros sectores
2011,4,6,8,,Estudios técnicos
2011,4,6,9,,Otras Innovaciones Tecnológicas
2011,4,9,1,,Comunicaciones
2011,4,9,2,,Defensa de la competencia
2011,4,9,3,,Ordenación del sector financiero
2011,4,9,4,,Relaciones laborales
2011,4,9,5,,"Cartografía, meteorología y metrología"
2011,9,1,1,,Alta dirección de la Comunidad Foral
2011,9,1,2,,Alta dirección del Gobierno
2011,9,2,1,,Administración general
2011,9,2,2,,Coordinación y organización territorial del Gobierno
2011,9,2,3,,Administración general de economía y hacienda
2011,9,3,1,,Política económica y fiscal
2011,9,3,2,,Gestión del sistema tributario
2011,9,4,1,,Convenios con el Estado
2011,9,4,2,,Transferencias a entidades locales
2011,9,5,1,,Deuda pública
2011,1,1,1,2,Dirección y servicios generales de justicia
2011,1,1,2,1,Órganos judiciales
2011,1,1,4,1,Protección jurídica del menor
2011,1,3,1,1,Dirección y servicios generales de seguridad y protección civil
2011,1,3,2,1,Seguridad ciudadana
2011,1,3,2,2,Seguridad vial
2011,1,3,3,1,Centros e instituciones penitenciarias
2011,1,3,4,1,Protección civil
2011,1,3,4,2,Prevención y extinción de incendios y salvamento
2011,1,4,3,1,Cooperación para el desarrollo
2011,1,4,4,1,"Cooperación, promoción y difusión cultural en el exterior"
2011,1,4,5,1,Relaciones con la Unión Europea
2011,1,4,6,1,Relaciones con el exterior
2011,2,1,1,1,Pensiones contributivas
2011,2,1,2,1,Pensiones no contributivas y prestaciones asistenciales
2011,2,2,4,1,Otras prestaciones económicas
2011,2,3,1,0,Programación general de protección y promoción social
2011,2,3,1,3,Servicios sociales a personas con discapacidad
2011,2,3,1,4,Servicios sociales a personas mayores
2011,2,3,1,5,Protección a la familia
2011,2,3,1,6,Reinserción social
2011,2,3,1,7,Atención a la infancia
2011,2,3,1,9,Integración de los inmigrantes
2011,2,3,2,1,Promoción y servicios a la juventud
2011,2,3,2,2,Igualdad de oportunidades entre mujeres y hombres
2011,2,3,2,3,Actuaciones para la previsión integral de la violencia de género
2011,2,3,3,1,Dirección y servicios generales de protección social
2011,2,4,1,1,Fomento de la inserción y estabilidad laboral
2011,2,4,1,2,Desarrollo de la economía social y de la responsabilidad social de las empresas
2011,2,4,1,3,Actuaciones en el mercado de trabajo
2011,2,4,2,1,Formación profesional ocupacional
2011,2,4,2,2,"Escuelas taller, casas de oficios y talleres de empleo"
2011,2,6,1,1,Dirección y servicios generales de vivienda
2011,2,6,1,2,Promoción y administración de viviendas
2011,2,6,1,4,"Ayudas para rehabilitación, construcción y acceso a la vivienda"
2011,2,6,1,5,Mantenimiento y mejora del patrimonio inmobiliario
2011,2,6,1,6,Mantenimiento y mejora de la infraestructura urbana en el ámbito municipal
2011,2,6,1,7,Urbanismo y política del suelo
2011,3,1,1,1,Dirección y servicios generales de sanidad y política social
2011,3,1,1,2,Formación sanitaria
2011,3,1,2,2,Atención primaria de salud
2011,3,1,2,3,Atención especializada de salud
2011,3,1,2,4,Asistencia psiquiátrica y psíquica
2011,3,1,2,7,Servicios auxiliares de centros sanitarios
2011,3,1,2,8,Infraestructura y equipamiento de centros sanitarios
