#año,area,politica,grupo,programa,descripcion
2025,1,,,,Servicios públicos básicos
2025,1,1,,,Justicia
2025,1,1,1,,Administración general de justicia
2025,1,1,1,2,Dirección y servicios generales de justicia
2025,1,1,1,5,Formación del personal de justicia
2025,1,1,2,,Administración de justicia
2025,1,1,2,1,Órganos judiciales
2025,1,1,4,,Protección jurídica del menor
2025,1,1,4,1,Protección jurídica del menor
2025,1,3,,,Seguridad ciudadana e instituciones penitenciarias
2025,1,3,1,,Administración general de seguridad y protección civil
2025,1,3,1,1,Dirección y servicios generales de seguridad y protección civil
2025,1,3,1,2,Formación de las fuerzas de la Policía Foral
2025,1,3,2,,Seguridad y orden público
2025,1,3,2,1,Seguridad ciudadana
2025,1,3,2,2,Seguridad vial
2025,1,3,2,4,Actuaciones policiales en otras materias
2025,1,3,3,,Instituciones penitenciarias
2025,1,3,3,1,Centros e instituciones penitenciarias
2025,1,3,3,2,"Trabajo, formación y asistencia a reclusos"
2025,1,3,4,,Protección civil
2025,1,3,4,1,Protección civil
2025,1,3,4,2,Prevención y extinción de incendios y salvamento
2025,1,3,5,,Protección de datos
2025,1,3,5,1,Protección de datos de carácter personal
2025,1,4,,,Política exterior
2025,1,4,3,,Cooperación para el desarrollo
2025,1,4,3,1,Cooperación para el desarrollo
2025,1,4,4,,"Cooperación, promoción y difusión cultural en el exterior"
2025,1,4,4,1,"Cooperación, promoción y difusión cultural en el exterior"
2025,1,4,5,,Relaciones con la Unión Europea
2025,1,4,5,1,Relaciones con la Unión Europea
2025,1,4,6,,Relaciones con el exterior
2025,1,4,6,1,Relaciones con el exterior
2025,2,,,,Actuaciones de protección y promoción social
2025,2,1,,,Pensiones
2025,2,1,1,,Pensiones contributivas
2025,2,1,1,1,Pensiones contributivas
2025,2,1,1,2,Pensiones de clases pasivas
2025,2,1,1,3,Otras pensiones y prestaciones de clases pasivas
2025,2,1,2,,Pensiones no contributivas
2025,2,1,2,1,Pensiones no contributivas y prestaciones asistenciales
2025,2,2,,,Otras prestaciones económicas
2025,2,2,2,,Prestaciones económicas del mutualismo administrativo
2025,2,2,2,1,Montepíos y mutualidades
2025,2,2,3,,Prestaciones económicas por cese de actividad
2025,2,2,3,1,Prestaciones económicas por cese de actividad
2025,2,2,4,,Otras prestaciones económicas
2025,2,2,4,1,Otras prestaciones económicas
2025,2,3,,,Servicios sociales y promoción social
2025,2,3,1,,Acción social
2025,2,3,1,0,Programación general de protección y promoción social
2025,2,3,1,2,Acciones en favor de la ciudadanía nacional en el exterior
2025,2,3,1,3,Servicios sociales a personas con discapacidad
