#año,area,politica,grupo,programa,EU
2010,1,,,,Oinarrizko zerbitzu publikoak
2010,2,,,,Gizarte-babesaren eta sustapenaren jarduketak
2010,3,,,,Lehentasunezko ondasun publikoen ekoizpena
2010,4,,,,Jarduketa ekonomikoak
2010,9,,,,Izaera orokorreko jarduketak
2010,1,1,,,Justizia
2010,1,3,,,Herritarren segurtasuna eta espetxeak
2010,1,4,,,Kanpo-politika
2010,2,1,,,Pentsioak
2010,2,2,,,Beste prestazio ekonomiko batzuk
2010,2,3,,,Gizarte-zerbitzuak eta gizarte-sustapena
2010,2,4,,,Enpleguaren sustapena
2010,2,6,,,Etxebizitza eskuratzea eta eraikuntzaren sustapena
2010,3,1,,,Osasuna
2010,3,2,,,Hezkuntza
2010,3,3,,,Kultura
2010,4,1,,,"Nekazaritza, abeltzaintza eta elikagaigintza"
2010,4,2,,,Industria eta energia
2010,4,3,,,"Merkataritza, turismoa eta ETEak"
2010,4,4,,,Garraiorako diru-laguntzak
2010,4,5,,,Azpiegiturak
2010,4,6,,,"Ikerketa, garapena eta berrikuntza"
2010,4,9,,,Izaera ekonomikoko beste jarduketa batzuk
2010,9,1,,,Goi-zuzendaritza
2010,9,2,,,Izaera orokorreko zerbitzuak
2010,9,3,,,Finantza- eta zerga-administrazioa
2010,9,4,,,Transferentziak beste Administrazio Publiko batzuetara
2010,9,5,,,Zor publikoa; Herri-zorra
2010,1,1,1,,Justizia-administrazio orokorra
2010,1,1,2,,Justizia-administrazioa
2010,1,3,1,,Segurtasuneko eta babes zibileko administrazio orokorra
2010,1,3,2,,Segurtasuna eta ordena publikoa
2010,1,3,3,,Espetxeen alorra
2010,1,3,4,,Babes zibila
2010,1,4,3,,Garapenerako lankidetza
2010,1,4,4,,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2010,1,4,5,,Europar Batasunarekiko harremanak
2010,1,4,6,,Kanpo-harremanak
2010,2,1,1,,Kotizaziopeko pentsioa
2010,2,1,2,,Ordaindutakoaren araberakoak ez diren pentsioak
2010,2,2,4,,Beste prestazio ekonomiko batzuk
2010,2,3,1,,Gizarte-ekintza
2010,2,3,2,,Gizarte-sustapena
2010,2,3,3,,Gizarte-babesaren administrazio orokorra
2010,2,4,1,,Enplegua eta laneratzea sustatzea
2010,2,4,2,,Arautu gabeko lanbide-prestakuntza
2010,2,6,1,,Etxebizitza eskuratzea eta eraikuntzaren sustapena
2010,3,1,1,,Osasun-administrazio orokorra
2010,3,1,2,,"Ospitaleak, zerbitzu asistentzialak eta osasun-zentroak"
2010,3,1,3,,Osasunari buruzko jarduera publikoak
2010,3,2,1,,Hezkuntza-administrazio orokorra
2010,3,2,2,,Irakaskuntza
2010,3,2,3,,Hezkuntza-sustapena
2010,3,2,4,,Irakaskuntzako zerbitzu osagarriak
2010,3,2,5,,Azpiegitura
2010,3,3,1,,Kultura-administrazio orokorra
2010,3,3,2,,Liburutegiak eta agiritegiak
2010,3,3,3,,Museoak eta arte plastikoak
2010,3,3,4,,Kultura-sustapena
2010,3,3,5,,Arte eszenikoak
2010,3,3,6,,Kirolak eta gorputz-hezkuntza
2010,3,3,7,,Arkeologia eta ondare historiko-artistikoaren babesa
2010,4,1,1,,"Nekazaritza, abeltzaintza eta elikagaigintzako administrazio orokorra"
2010,4,1,2,,Nekazaritzako azpiegiturak eta ekoizpen-sistemak hobetzea
2010,4,1,3,,Nekazaritzako elikagaien industriaren lehiakortasuna eta elikagaien kalitatea
2010,4,1,4,,Landa-garapena
2010,4,2,1,,Industriari buruzko jarduketa administratiboak
2010,4,2,2,,Industria-birmoldaketa eta -garapena
2010,4,2,5,,Energiaren antolamendua eta eraginkortasuna
2010,4,3,1,,Merkataritza
2010,4,3,2,,Turismoa antolatzea eta sustatzea
2010,4,4,1,,Garraiorako diru-laguntzak
2010,4,5,1,,Azpiegituren administrazio orokorra
2010,4,5,2,,Ur-baliabideak
2010,4,5,3,,Lurreko garraiorako azpiegiturak
2010,4,5,6,,Ingurumeneko jarduketak
2010,4,5,8,,"Industria, merkataritza eta turismoko azpiegitura"
2010,4,5,9,,Elektrifikazioa eta argiztatzea
2010,4,5,A,,Landa-inguruneko komunikabideak
2010,4,5,B,,Komunitatearen ongizaterako beste zerbitzu batzuk
2010,4,6,5,,Osasunarekin lotutako ikerketa eta garapena
2010,4,6,7,,Beste sektore batzuetako ikerketa eta garapena
2010,4,6,8,,Azterlan teknikoak
2010,4,6,9,,Beste berrikuntza teknologiko batzuk
2010,4,9,2,,Lehiaren defentsa
2010,4,9,3,,Finantza-sektorearen antolamendua
2010,4,9,4,,Lan-harremanak
2010,4,9,5,,"Kartografia, meteorologia eta metrologia"
2010,9,1,1,,Foru Komunitateko goi-zuzendaritza
2010,9,1,2,,Gobernuaren goi-zuzendaritza
2010,9,2,1,,Administrazio orokorra
2010,9,2,2,,Gobernuaren lurraldeko koordinazioa eta antolakuntza
2010,9,2,3,,Ekonomia eta ogasunaren administrazio orokorra
2010,9,2,9,,"Ustekabeak, aldi baterako egoerak eta betearazpeneko kontingentziak"
2010,9,3,1,,Politika ekonomikoa y fiskala
2010,9,3,2,,Zerga-sistemaren kudeaketa
2010,9,4,1,,Estatuarekin egindako hitzarmenak
2010,9,4,2,,Toki-erakundeentzako transferentziak
2010,9,5,1,,Zor publikoa; Herri-zorra
2010,1,1,1,2,Justiziako zuzendaritza eta zerbitzu orokorrak
2010,1,1,2,1,Organo judizialak
2010,1,3,1,1,Segurtasun eta babes zibileko zuzendaritza eta zerbitzu orokorrak
2010,1,3,2,1,Herritarren segurtasuna
2010,1,3,2,2,Bide-segurtasuna
2010,1,3,3,1,Espetxeak
2010,1,3,4,1,Babes zibila
2010,1,3,4,2,Suteen prebenitu eta itzaltzeko eta salbamenduko zerbitzuak
2010,1,4,3,1,Garapenerako lankidetza
2010,1,4,4,1,"Kultura-lankidetza, -sustapena eta -hedapena atzerrian"
2010,1,4,5,1,Europar Batasunarekiko harremanak
2010,1,4,6,1,Kanpo-harremanak
2010,2,1,1,1,Kotizaziopeko pentsioa
2010,2,1,2,1,Ekarpenezkoak ez diren pentsioak eta laguntza-prestazioak
2010,2,2,4,1,Beste prestazio ekonomiko batzuk
2010,2,3,1,0,Gizarte-babesaren eta sustapenaren programazio orokorra
2010,2,3,1,3,Desgaituentzako gizarte-zerbitzuak
2010,2,3,1,4,Adinekoentzako gizarte-zerbitzuak
2010,2,3,1,5,Familientzako babesa
2010,2,3,1,6,Bergizarteratzea
2010,2,3,1,7,Haurrentzako arreta
2010,2,3,1,9,Etorkinak gizarteratzea
2010,2,3,2,1,Gazteen sustapena eta gazteentzako zerbitzuak
2010,2,3,2,2,Emakumeen eta gizonen arteko aukera-berdintasuna
2010,2,3,2,3,Genero-indarkeria osotasunean prebenitzeko jarduketak
2010,2,3,3,,Gizarte-babesaren administrazio orokorra
2010,2,3,3,1,Gizarte-babeseko zuzendaritza eta zerbitzu orokorrak
2010,2,4,1,1,Laneratzea eta enplegu-egonkortasuna sustatzea
2010,2,4,1,2,Gizarte-ekonomia eta enpresen gizarte-erantzukizuna garatzea
2010,2,4,1,3,Lan-merkatuko jarduketak
2010,2,4,2,1,Lanerako lanbide-prestakuntza
2010,2,4,2,2,"Eskola-lantegiak, ofizio-etxeak eta enplegu-tailerrak"
2010,2,6,1,1,Etxebizitzako zuzendaritza eta zerbitzu orokorrak
2010,2,6,1,2,Etxebizitzen sustapena eta administrazioa
2010,2,6,1,4,"Etxebizitzak birgaitzeko, eraikitzeko eta lortzeko laguntzak"
2010,2,6,1,5,Ondare higiezinaren mantentze- eta hobekuntza-lanak
2010,2,6,1,6,Hiri-azpiegituren mantentze- eta hobekuntza-lanak udal-esparruan
2010,2,6,1,7,Hirigintza eta lurzoru-politika
2010,3,1,1,1,Osasuneko zuzendaritza eta zerbitzu orokorrak
2010,3,1,1,2,Osasun-prestakuntza
2010,3,1,2,2,Lehen mailako osasun-arreta
2010,3,1,2,3,Osasun-arreta espezializatua
2010,3,1,2,4,Arreta psikiatriko eta psikikoa
2010,3,1,2,7,Osasun-zentroetako zerbitzu osagarriak
2010,3,1,2,8,Osasun-zentroetako azpiegitura eta ekipamendua
2010,3,1,3,1,Medikamentuen eta osasun-produktuen erabilera arrazionala
2010,3,1,3,2,Osasun publikoa eta kanpoko osasungintza
2010,3,1,3,4,"Terapia aurreratuak, medikuntza birsortzailea eta transplanteak"
2010,3,1,3,9,Osasuna babesteko bestelako jarduera publikoak
2010,3,2,1,1,Hezkuntzako zuzendaritza eta zerbitzu orokorrak
2010,3,2,1,2,Hezkuntza-alorreko irakasleen etengabeko prestakuntza
2010,3,2,2,0,Irakaskuntzako zuzendaritza eta zerbitzu orokorrak
2010,3,2,2,1,Haur Hezkuntza
