#año,gasto_ingreso,capitulo,articulo,concepto,subconcepto,EU
2012,GASTO,1,,,,Langile-gastuak
2012,GASTO,2,,,,Ondasunen eta zerbitzuen gastu arruntak
2012,GASTO,3,,,,Gastu finantzarioak
2012,GASTO,4,,,,Transferentzia arruntak
2012,GASTO,6,,,,Inbertsio errealak
2012,GASTO,7,,,,Kapital-transferentziak
2012,GASTO,8,,,,Finantza-aktiboak
2012,GASTO,9,,,,Finantza-pasiboak
2012,GASTO,1,0,,,Goi-kargudunak
2012,GASTO,1,1,,,Behin-behineko langileak
2012,GASTO,1,2,,,
2012,GASTO,1,4,,,
2012,GASTO,1,6,,,"Kuotak, prestazioak eta gizarte-gastuak"
2012,GASTO,1,7,,,Langileen ordainsari aldagarriak
2012,GASTO,1,8,,,Langileen beste ordainsari batzuk
2012,GASTO,2,0,,,Errentamenduak eta kanonak
2012,GASTO,2,1,,,"Konponketak, mantentze-lanak eta kontserbazioa"
2012,GASTO,2,2,,,"Materiala, hornikuntzak eta bestelakoak"
2012,GASTO,2,3,,,Zerbitzuagatiko kalte-ordainak
2012,GASTO,2,4,,,Argitalpen-gastuak
2012,GASTO,2,5,,,Osasun-arretarako hitzarmenak
2012,GASTO,3,0,,,Barneko zor publikoaren gastu finantzarioak
2012,GASTO,3,1,,,Barneko maileguen gastu finantzarioak
2012,GASTO,3,4,,,Gordailuen eta fidantzen gastu finantzarioak
2012,GASTO,3,5,,,Berandutze-interesak eta beste gastu finantzario batzuk
2012,GASTO,4,0,,,Estatuko administrazioari egindako transferentzia arruntak
2012,GASTO,4,3,,,
2012,GASTO,4,4,,,Enpresa publikoei eta beste erakunde publiko batzuei egindako transferentzia arruntak
2012,GASTO,4,6,,,Tokiko erakundeei egindako transferentzia arruntak
2012,GASTO,4,7,,,Enpresa pribatuei egindako transferentzia arruntak
2012,GASTO,4,8,,,Familiei eta irabazi-asmorik gabeko erakundeei egindako transferentzia arruntak
2012,GASTO,6,0,,,Inbertsio errealak
2012,GASTO,7,3,,,
2012,GASTO,7,4,,,Enpresa publikoei eta beste erakunde publiko batzuei egindako kapital-transferentziak
2012,GASTO,7,6,,,Tokiko erakundeei egindako kapital-transferentziak
2012,GASTO,7,7,,,Enpresa pribatuei egindako kapital-transferentziak
2012,GASTO,7,8,,,Familiei eta irabazi-asmorik gabeko erakundeei egindako kapital-transferentziak
2012,GASTO,8,2,,,Sektore publikoari maileguak ematea
2012,GASTO,8,3,,,Sektore publikotik kanpo maileguak ematea
2012,GASTO,8,4,,,Gordailuak eta fidantzak eratzea
2012,GASTO,8,5,,,Sektore Publikoaren akzioak eta partizipazioak eskuratzea
2012,GASTO,8,6,,,Sektore Publikotik kanpoko akzioak eta partizipazioak eskuratzea
2012,GASTO,9,0,,,Barneko zor publikoaren amortizazioa
2012,GASTO,9,1,,,Barneko maileguen amortizazioa
2012,GASTO,9,4,,,"Gordailuak, fidantzak eta bestelakoak itzultzea"
2012,GASTO,1,0,0,,Goi-kargudunen lansariak eta bestelako ordainsariak
2012,GASTO,1,1,0,,Behin-behineko langileen ordainsariak
2012,GASTO,1,2,0,,Langile finkoen ordainsariak
2012,GASTO,1,2,1,,Plantilla organikoko lanpostuetarako kontratatutako langileen ordainsariak
2012,GASTO,1,2,2,,Kontratatutako langileen ordainsariak
2012,GASTO,1,2,5,,Ordezkapenetarako kontratatutako langileen ordainsariak
2012,GASTO,1,4,0,,
2012,GASTO,1,4,1,,Ibilbide profesionaleko ordainsariak
2012,GASTO,1,6,0,,Gizarte-kuotak
2012,GASTO,1,6,1,,Gizarte-prestazioak
2012,GASTO,1,6,2,,Langileen gizarte-gastuak
2012,GASTO,1,7,0,,Langileen ordainsari aldagarriak
2012,GASTO,1,7,1,,Errendimendurako pizgarriak
2012,GASTO,1,8,0,,Langileen beste ordainsari batzuk
2012,GASTO,1,8,1,,Aurreko ekitaldietako langileen ordainsariak
2012,GASTO,1,8,2,,Sententziak gauzatzeko ordainsariak eta beste kalte-ordain batzuk
